start_ip,end_ip,asn
38.210.108.0,38.210.108.255,273221
38.210.184.0,38.210.184.255,273172
38.210.185.0,38.210.185.255,273172
38.210.186.0,38.210.186.255,273172
38.210.187.0,38.210.187.255,265855
38.210.226.0,38.210.226.255,267708
38.211.2.0,38.211.2.255,273049
38.211.5.0,38.211.5.255,274961
38.211.36.0,38.211.36.255,272003
38.211.37.0,38.211.37.255,27951
38.211.46.0,38.211.46.255,273889
38.211.68.0,38.211.68.255,269804
38.211.69.0,38.211.69.255,269804
38.211.70.0,38.211.70.255,266737
38.211.71.0,38.211.71.255,266737
38.211.76.0,38.211.76.255,270062
38.211.77.0,38.211.77.255,270062
38.211.78.0,38.211.78.255,270062
38.211.79.0,38.211.79.255,270062
38.211.102.0,38.211.102.255,272937
38.211.114.0,38.211.114.255,272896
38.211.118.0,38.211.119.255,272958
38.211.126.0,38.211.126.255,274017
38.211.144.0,38.211.144.255,27951
38.211.145.0,38.211.145.255,27951
38.211.254.0,38.211.254.255,274248
38.224.18.0,38.224.18.255,273122
38.224.21.0,38.224.21.255,273894
38.224.24.0,38.224.24.255,273244
38.224.40.0,38.224.40.255,273138
38.224.41.0,38.224.41.255,273138
38.224.42.0,38.224.42.255,273138
38.224.43.0,38.224.43.255,273138
38.224.52.0,38.224.55.255,272987
38.224.56.0,38.224.56.255,273212
38.224.57.0,38.224.57.255,273212
38.224.61.0,38.224.61.255,27951
38.224.106.0,38.224.106.255,272937
38.224.140.0,38.224.140.255,267799
38.224.149.0,38.224.149.255,272937
38.224.172.0,38.224.172.255,272881
38.224.211.0,38.224.211.255,274054
38.224.216.0,38.224.219.255,273082
38.224.244.0,38.224.245.255,272958
38.225.40.0,38.225.40.255,273244
38.225.48.0,38.225.63.255,271957
38.225.112.0,38.225.113.255,273926
38.225.218.0,38.225.218.255,265705
38.225.220.0,38.225.220.255,265855
38.225.224.0,38.225.224.255,271957
38.225.225.0,38.225.225.255,271957
38.225.226.0,38.225.227.255,271957
38.225.228.0,38.225.228.255,271957
38.225.229.0,38.225.229.255,271957
38.225.230.0,38.225.231.255,271957
38.225.248.0,38.225.251.255,271992
38.226.1.0,38.226.1.255,273244
38.226.139.0,38.226.139.255,273187
38.236.104.0,38.236.104.255,272958
38.236.106.0,38.236.106.255,274223
38.236.107.0,38.236.107.255,274894
38.236.111.0,38.236.111.255,274001
38.236.124.0,38.236.124.255,274311
38.236.125.0,38.236.125.255,273172
38.236.160.0,38.236.160.255,272932
38.236.182.0,38.236.182.255,274282
38.236.240.0,38.236.255.255,273103
38.252.88.0,38.252.88.255,272058
38.252.90.0,38.252.90.255,272058
38.252.91.0,38.252.91.255,272058
38.252.92.0,38.252.92.255,272058
38.252.93.0,38.252.93.255,272058
38.252.94.0,38.252.94.255,272058
38.252.95.0,38.252.95.255,272058
38.252.106.0,38.252.106.255,274152
38.252.156.0,38.252.156.255,267834
38.252.157.0,38.252.157.255,267834
38.252.158.0,38.252.158.255,267834
38.252.159.0,38.252.159.255,267834
38.252.206.0,38.252.206.255,267919
38.252.236.0,38.252.237.255,272937
38.253.68.0,38.253.69.255,273008
38.253.76.0,38.253.79.255,265693
38.253.115.0,38.253.115.255,27951
38.253.116.0,38.253.119.255,270075
38.254.124.0,38.254.125.255,269742
38.255.6.0,38.255.6.255,273238
38.255.120.0,38.255.120.255,27951
40.27.88.0,40.27.88.255,269986
40.27.89.0,40.27.89.255,269986
40.27.90.0,40.27.90.255,269986
40.27.91.0,40.27.91.255,269986
40.27.92.0,40.27.92.255,269986
40.27.93.0,40.27.93.255,269986
40.27.94.0,40.27.94.255,269742
40.27.95.0,40.27.95.255,269742
45.5.160.0,45.5.163.255,10299
45.5.164.0,45.5.165.255,265696
45.5.166.0,45.5.167.255,265696
45.5.172.0,45.5.173.255,265696
45.5.174.0,45.5.175.255,265696
45.5.182.0,45.5.183.255,27951
45.5.184.0,45.5.185.255,265696
45.5.186.0,45.5.187.255,265696
45.5.188.0,45.5.189.255,265696
45.5.190.0,45.5.191.255,265696
45.10.104.0,45.10.104.255,270035
45.10.105.0,45.10.105.255,270035
45.65.136.0,45.65.139.255,273001
45.65.200.0,45.65.200.255,267893
45.65.232.0,45.65.235.255,269822
45.65.248.0,45.65.248.255,27855
45.65.249.0,45.65.249.255,27855
45.65.250.0,45.65.250.255,27855
45.65.251.0,45.65.251.255,27855
45.68.27.0,45.68.27.255,272806
45.70.168.0,45.70.168.255,27951
45.70.169.0,45.70.169.255,27951
45.70.170.0,45.70.170.255,265833
45.70.171.0,45.70.171.255,265833
45.71.7.0,45.71.7.255,27951
45.71.180.0,45.71.180.255,3816
45.71.181.0,45.71.181.255,262186
45.71.182.0,45.71.182.255,262186
45.71.183.0,45.71.183.255,262186
45.81.105.0,45.81.105.255,273015
45.81.106.0,45.81.106.255,273015
